persondata.txt   v0.1 GAMMEL UTGAVE H2010   Kilder: Wikipedia, TMDb   -*- coding:us-ascii -*-
aak1	AAke Fridell
bla6	Blair Brown
bla7	Blair Burrows
bla8	Blair Hayes
bla9	Blair Slater
bla10	Blair Tefkin
bla11	Blair Treu
bla12	Blair Underwood
bla13	Blake Clark
bla14	Blake Foster
bla15	Blake Gibbons
bla16	Blake Heron
bla17	Blake Lively
bla18	Blake McIver Ewing
bla19	Blanca Guerra
bla20	Blanca Oteyza
bla21	Blanca Portillo
bla22	Blanca Salces
bla23	Blanchard Ryan
bla24	Blanche Friderici
bla25	Blanche Sweet
bla26	Blanche Yurka
bla27	Blayne Weaver
bla28	Blaze Foster
ble1	Blessy
blo1	Blondie
blu1	Blu Mankuma
bly1	Blythe Danner
boa1	Boaz Davidson
boa2	Boaz Yakin
bob1	Bob Fosse
bob2	Bob Peterson
bob3	Bob Hoskins
bob4	Bob Gunton
bob5	Bo-bae Han
bob6	Bob Balaban
bob7	Bob Balhatchet
bob8	Bob Bancroft
bob9	Bob Barrett
bob10	Bob Beaton
bob11	Bob Bergen
bob12	Bob Brady
bob13	Bobby Block
bob14	Bobby Brown
bob15	Bobby Cannavale
bob16	Bobby Ciraldo
bob17	Bobby Darin
bob18	Bobby Darling
bob19	Bobby Deol
bob20	Bobby Di Cicco
bob21	Bobby Driscoll
bob22	Bobby Dunn
bob23	Bobby Farrelly
bob24	Bobby Fite
bob25	Bobby Henrey
bob26	Bobby Hutchins
bob27	Bob Byington
bob28	Bobby James
bob29	Bobby Jean Leonard
bob30	Bobby Jordan
bob31	Bobby Porter
bob32	Bobby Pyle
bob33	Bobby Roth
bob34	Bobby Rydell
bob35	Bobby Stone
bob36	Bobcat Goldthwait
bob37	Bob Clampett
bob38	Bob Clark
bob39	Bob Clayton
bob40	Bob Clendenin
bob41	Bob Cook
bob42	Bob Cousy
bob43	Bob Dermer
bob44	Bob Dishy
bob45	Bob Dolman
bob46	Bob Dorian
bob47	Bob Dylan
bob48	Bob Eubanks
bob49	Bob Franklin
bob50	Bob Gale
bob51	Bob Geldof
bob52	Bob Giraldi
bob53	Bob Glouberman
bob54	Bob Goldthwait
bob55	Bob Gosse
bob56	Bob Griffith
bob57	Bob Hastings
bob58	Bob Hathcock
bob59	Bob Hite
bob60	Bob Hoge
bob61	Bob Holt
bob62	Bob Homel
bob63	Bob Hope
bob64	Bob Ivy
bob65	Bob Kelljan
bob66	Bob Kelly
bob67	Bob Knickerbocker
bob68	Bob Logan
bob69	Bob Lowell
bob70	Bob Marley
bob71	Bob Misiorowski
bob72	Bob Nelson
bob73	Bob Neuwirth
bob74	Bob Newhart
bob75	Bob Odenkirk
bob76	Bob Peck
bob77	Bob Proctor
bob78	Bob Rafelson
bob79	Bob Robbins
bob80	Bob Roe
bob81	Bo Brundin
bob82	Bob Saget
bob83	Bob Sapp
bob84	Bob Skidmore
bob85	Bob Smeaton
bob86	Bob Spiers
bob87	Bob Steele
bob88	Bob Thomas
bob89	Bob Todd
bob90	Bob Tonelli
bob91	Bob Tracey
bob92	Bob West
bob93	Bob Zmuda
bod1	Bodil Kjer
bod2	Bo Derek
bod3	Bo Diddley
bod4	Bodil Rosing
bog1	Bogdan Diklic
bog2	Bogdan Koca
bog3	Bogumil Kobiela
bog4	Boguslawa Pawelec
boh1	Bo Hopkins
boh2	Bohdan Slama
boh3	Bo Huang
boj1	Bojan Marovic
bok1	Bokeem Woodbine
bok2	Bokuzen Hidari
bol1	Bolaji Badejo
bol2	Bolot Bejshenaliyev
bol3	Bolo Yeung
bom1	Boman Irani
bon1	Bong Joon-ho
bon2	Bongkoj Khongmalai
bon3	Bong Tae-gyu
bon4	Bonita Friedericy
bon5	Bonita Granville
bon6	Bonnie Bartlett
bon7	Bonnie Bedelia
bon8	Bonnie Burroughs
bon9	Bonnie Burt
bon10	Bonnie Henna
bon11	Bonnie Hunt
bon12	Bonnie Root
bon13	Bonnie Wong Man-Wai
bon14	Bonny Giroux
bon15	Bono
bor1	Bora Todorovic
bor2	Bore Lee
bor3	Boris Barnet
bor4	Boris Dobronravov
bor5	Boris Ingster
bor6	Boris Karloff
bor7	Boris Kodjoe
bor8	Boris Leskin
bor9	Boris Novikov
bor10	Boris Paval Conen
bor11	Boris Plotnikov
bor12	Boris Sagal
bor13	Boriwat Yuto
bor14	Borje Ahlstedt
bos1	Bosco Hogan
bos2	Bo Svenson
bot1	Boti Bliss
bou1	B. Ouyang
bou2	Bouli Lanners
bou3	Bourvil
bow1	Bo Welch
bow2	Bo Widerberg
bow3	Bow Wow
boy1	Boyd 'Red' Morgan
boy2	Boyd Gaines
boy3	Boyd Irwin
boy4	Boyd Kirkland
boz1	Bozena Kurowska
boz2	Bozena Stryjkowna
bra1	Brad Davis
bra2	Brad Pitt
bra3	Brad Bird
bra4	Brady Corbet
bra5	Branko Djuric
bra6	Brad Silberling
bra7	Bracken Johnson
bra8	Brad Anderson
bra9	Brad Beyer
bra10	Brad Dexter
bra11	Brad Dourif
bra12	Bradford Dillman
bra13	Bradford English
bra14	Bradford May
bra15	Brad Fraser
bra16	Brad Garrett
bra17	Brad Greenquist
bra18	Brad Hall
bra19	Brad Hawkins
bra20	Brad Hunt
bra21	Brad Johnson
bra22	Brad Leland
bra23	Bradley Battersby
bra24	Bradley Cooper
bra25	Bradley Gregg
bra26	Bradley Raymond
bra27	Bradley Stryker
bra28	Bradley Whitford
bra29	Brad Loree
bra30	Brad McGann
bra31	Brad Mirman
bra32	Brad Morrow
bra33	Brad Osborne
bra34	Brad Renfro
bra35	Brad Savage
bra36	Brad Smith
bra37	Brad Sullivan
bra38	Brad Turner
bra39	Brad William Henke
bra40	Brady Bluhm
bra41	Brahim Aimad
bra42	Brahim Hagiag
bra43	Brainerd Duffield
bra44	Bramwell Fletcher
bra45	Brande Roderick
bra46	Brandi Andres
bra47	Brandon Camp
bra48	Brandon Crane
bra49	Brandon de Paul
bra50	Brandon De Wilde
bra51	Brandon Hammond
bra52	Brandon Hardesty
bra53	Brandon Hurst
bra54	Brandon LaCroix
bra55	Brandon Lee
bra56	Brandon McGibbon
bra57	Brandon Quintin Adams
bra58	Brandon Ratcliff
bra59	Brandon Rhea
bra60	Brandon Routh
bra61	Brandon Smith
bra62	Brandon T. Jackson
bra63	Brandy Norwood
bra64	Branka Katic
bra65	Branko Cikatic
bra66	Brannon Gould
bra67	Brant Sersen
bra68	Brawley Nolte
bre1	Brenda Blethyn
bre2	Brendan Fraser
bre3	Breno Mello
bre4	Brenda Fricker
bre5	Brenda Chapman
bre6	Breck Eisner
bre7	Breckin Meyer
bre8	Bree Turner
bre9	Brenda Bakke
bre10	Brenda Ballard
bre11	Brenda Benet
bre12	Brenda Cooney
bre13	Brenda Currin
bre14	Brenda De Banzie
bre15	Brenda Grate
bre16	Brenda Hillhouse
bre17	Brenda Joyce
bre18	Brenda Kamino
bre19	Brenda Kendall
bre20	Brenda Marshall
bre21	Brenda Medcalf
bre22	Brendan Corbalis
bre23	Brendan Coyle
bre24	Brendan Fehr
bre25	Brendan Fletcher
bre26	Brendan Gleeson
bre27	Brendan Hughes
bre28	Brendan Mackey
bre29	Brendan Malloy
bre30	Brendan McNamara
bre31	Brendan Murphy
bre32	Brendan Ryan Barrett
bre33	Brendan Sexton III
bre34	Brenda Song
bre35	Brenda Strong
bre36	Brenda Sykes
bre37	Brenda Vaccaro
bre38	Brendon Ryan Barrett
bre39	Brennan Elliott
bre40	Brent Briscoe
bre41	Brent Carver
bre42	Brent Hinkley
bre43	Brent Huff
bre44	Brent Jefferson Lowe
bre45	Brent Jennings
bre46	Brent Maddock
bre47	Brenton Spencer
bre48	Brent Roam
bre49	Brent Spiner
bre50	Bret 'Brook' Parker
bre51	Bretaigne Windust
bre52	Bret Harrison
bre53	Brett Chukerman
bre54	Brett Cullen
bre55	Brett DelBuono
bre56	Brett Halsey
bre57	Brett Harrelson
bre58	Brett Kelley
bre59	Brett Kelly
bre60	Brett Leonard
bre61	Brett Morgen
bre62	Brett Ratner
bre63	Brett Rice
bre64	Brett Stewart
bre65	Brett Stiller
bre66	Brett Sullivan
bri1	Brian Geraghty
bri2	Brian Blessed
bri3	Brigitte Lin
bri4	Briana Evigan
bri5	Brian Aherne
bri6	Brian Anderson,
bri7	Brian Andrews
bri8	Brian Austin Green
bri9	Brian Avery
bri10	Brian Backer
bri11	Brian Bedford
bri12	Brian Benben
bri13	Brian Bonsall
bri14	Brian Brophy
bri15	Brian Cesak
bri16	Brian Cox
bri17	Brian Dannelly
bri18	Brian Deacon
bri19	Brian Delate
bri20	Brian Dennehy
bri21	Brian De Palma
bri22	Brian Desmond Hurst
bri23	Brian Donlevy
bri24	Brian Donovan
bri25	Brian Doyle-Murray
bri26	Brian F. O'Byrne
bri27	Brian Flanagan
bri28	Brian G. Hutton
bri29	Brian George
bri30	Brian Gibson
bri31	Brian Glover
bri32	Brian H. Dierker
bri33	Brian Haley
bri34	Brian Hecker
bri35	Brian Heffron
bri36	Brian Helgeland
bri37	Brian Henson
bri38	Brian Hibbard
bri39	Brian Hogg
bri40	Brian Hooks
bri41	Brian Howe
bri42	Brian J. Gilbert
bri43	Brian J. White
bri44	Brian Jones
bri45	Brian Keith
bri46	Brian Kelly
bri47	Brian Kerwin
bri48	Brian King
bri49	Brian Koppelman
bri50	Brian Krause
bri51	Brian L. Keaulana
bri52	Brian Levant
bri53	Brian Levinson
bri54	Brian Markinson
bri55	Brian McCardie
bri56	Brian McNamara
bri57	Brianna Brown
bri58	Brian O'Halloran
bri59	Brian Osborne
bri60	Brian Posehn
bri61	Brian Robbins
bri62	Brian Sergent
bri63	Brian Smith
bri64	Brian Steele
bri65	Brian Stirner
bri66	Brian Tarantina
bri67	Brian Taylor
bri68	Brian Tee
bri69	Brian Thompson
bri70	Brian Tochi
bri71	Brian Trenchard-Smith
bri72	Brian Tyler
bri73	Brian Van Holt
bri74	Brian Vincent
bri75	Brian W. Cook
bri76	Brian Wagner
bri77	Brian Wimmer
bri78	Brian Yuzna
bri79	Bridget Bennett
bri80	Bridget Fonda
bri81	Bridget Moynahan
bri82	Bridgetta Clark
bri83	Bridgette Wilson
bri84	Bridgette Wilson-Sampras
bri85	Brie Howard
bri86	Brigid Berlin
bri87	Brigitte Auber
bri88	Brigitte Bako
bri89	Brigitte Bardot
bri90	Brigitte Chamarande
bri91	Brigitte Fossey
bri92	Brigitte Helm
bri93	Brigitte Mira
bri94	Brigitte Nielsen
bri95	Brij
bri96	Brinke Stevens
bri97	Brion James
bri98	Britani Bateman
bri99	Britney Spears
bri100	Britt Allcroft
bri101	Brittany Daniel
bri102	Brittany Mountain
bri103	Brittany Murphy
bri104	Brittany Paige Bouck
bri105	Brittany Robertson
bri106	Brittany Snow
bri107	Britta Sjogren
bri108	Britt Ekland
bri109	Britt Leach
bri110	Britt McKillip
bri111	Brittney Irvin
bri112	Brittney Lewis
bri113	Brittney Powell
bro1	Brooke Adams
bro2	Brock Peters
bro3	Brock Pierce
bro4	Broderick Crawford
bro5	Bronislaw Dardzinski
bro6	Bronson Pinchot
bro7	Brontis Jodorowsky
bro8	Bronwen Coleman
bro9	Bronwen Hughes
bro10	Brooke Burns
bro11	Brooke Langton
bro12	Brooke Lynn Wright
bro13	Brooke Nevin
bro14	Brooke Shields
bro15	Brooke Smith
bro16	Brooke Theiss
bro17	Brooklynn Proulx
bro18	Brooks Gardner
bro19	Brook Williams
bro20	Brook Yeaton
bro21	Brother Theodore
bro22	Brownie McGhee
bro23	Brownlee Davis
bru1	Bruno Kirby
bru2	Bruce Willis
bru3	Bruce Beresford
bru4	Bruce Dern
bru5	Bruno Ganz
bru6	Bruce Cabot
bru7	Bruce A. Evans
bru8	Bruce A. Young
bru9	Bruce Abbott
bru10	Bruce Adler
bru11	Bruce Altman
bru12	Bruce Baillie
bru13	Bruce Balden
bru14	Bruce Bennett
bru15	Bruce Boxleitner
bru16	Bruce Brown
bru17	Bruce Bruce
bru18	Bruce Byron
bru19	Bruce Cameron
bru20	Bruce Campbell
bru21	Bruce Conner
bru22	Bruce Cook
bru23	Bruce Cowling
bru24	Bruce Davison
bru25	Bruce Edwards
bru26	Bruce Glover
bru27	Bruce Gordon
bru28	Bruce Greenwood
bru29	Bruce Hendricks
bru30	Bruce Hunt
bru31	Bruce Joel Rubin
bru32	Bruce Kerr
bru33	Bruce Kimbale
bru34	Bruce La Bruce
bru35	Bruce Law Chi-Leung
bru36	Bruce Lee
bru37	Bruce Lester
bru38	Bruce Logan
bru39	Bruce M. Fischer
bru40	Bruce MacVittie
bru41	Bruce Malmuth
bru42	Bruce McCulloch
bru43	Bruce McDonald
bru44	Bruce McFee
bru45	Bruce McGill
bru46	Bruce Paltrow
bru47	Bruce Payne
bru48	Bruce Penhall
bru49	Bruce Perens
bru50	Bruce Ramsay
bru51	Bruce Reitherman
bru52	Bruce Robinson
bru53	Bruce Seton
bru54	Bruce Sinofsky
bru55	Bruce Spence
bru56	Bruce Sweeney
bru57	Bruce W. Smith
bru58	Bruce W. Timm
bru59	Bruce Way
bru60	Bruce Yarnell
bru61	Brunella Bovo
bru62	Bruno Barreto
bru63	Bruno Bozzetto
bru64	Bruno Campos
bru65	Bruno Cremer
bru66	Bruno Freindlich
bru67	Bruno Lawrence
bru68	Bruno Mattei
bru69	Bruno Musso
bru70	Bruno Nuytten
bru71	Bruno Ortenzi
bru72	Bruno Putzulu
bru73	Bruno S.
bru74	Bruno Stori
bru75	Bruno Vanden Broucke
bru76	Bruno Zanin
bry1	Bryan Singer
bry2	Bryan Barber
bry3	Bryan Bertino
bry4	Bryan Brown
bry5	Bryan Coates
bry6	Bryan Dick
bry7	Bryan Dresden
bry8	Bryan Ferry
bry9	Bryan Forbes
bry10	Bryan Foy
bry11	Bryan Gordon
bry12	Bryan Greenberg
bry13	Bryan Iguchi
bry14	Bryan Kirkwood
bry15	Bryan Madorsky
bry16	Bryan Marshall
bry17	Bryan Michael Stoller
bry18	Bryan O'Dell
bry19	Bryan Pringle
bry20	Bryan Spicer
bry21	Bryant Haliday
bry22	Bryant Washburn
bry23	Bryce Dallas Howard
bry24	Bryce Johnson
bry25	Bryce Silver
bry26	Bryon Werner
bub1	Buba Bayour
bub2	Bubba Smith
buc1	Buck Henry
buc2	Buck Smith
buc3	Buck Taylor
bud1	Bud Abbott
bud2	Bud Cort
bud3	Budd Boetticher
bud4	Budd Buster
bud5	Buddug Williams
bud6	Buddy Baer
bud7	Buddy Ebsen
bud8	Buddy Foster
bud9	Buddy Greco
bud10	Buddy Guy
bud11	Buddy Hackett
bud12	Buddy Lester
bud13	Buddy Lewis
bud14	Buddy Pantsari
bud15	Buddy Van Horn
bud16	Bud Flanagan
bud17	Bud Freidgen
bud18	Bud Jamison
bud19	Bud Luckey
bud20	Bud Osborne
bud21	Bud Ross
bud22	Bud S. Smith
bud23	Bud Spencer
bud24	Bud Townsend
bud25	Bud Yorkin
bug1	Bug Hall
bui1	Buichi Saito
bul1	Bulle Ogier
bum1	Bumper Robinson
bun1	Bunny Summers
bun2	Bunta Sugawara
bun3	Bunyawan Pongsuwan
bur1	Burt Lancaster
bur2	Burt Young
bur3	Burak Ozcivit
bur4	Burgess Meredith
bur5	Burghart Klaussner
bur6	Burl Ives
bur7	Burn Gorman
bur8	Burns Wantling
bur9	Burny Mattinson
bur10	Burr DeBenning
bur11	Burr Steers
bur12	Burt Bulos
bur13	Burt Gillett
bur14	Burt Kennedy
bur15	Burt Kwouk
bur16	Burton L. King
bur17	Burton Perez
bur18	Burt Reynolds
bur19	Burt Ward
bus1	Buster Keaton
bus2	Busby Berkeley
bus3	Busta Rhymes
bus4	Buster Crabbe
bus5	Busy Philipps
but1	Butch Gehring
but2	Butch Patrick
but3	Butch Stockton
but4	Butterfly McQueen
buw1	Bu Wancang
buz1	Buzz Aldrin
buz2	Buzz Kilman
buz3	Buzz Kulik
buz4	Buzzy Kerbox
bwy1	B. Wyatt
bya1	Byambasuren Davaa
bye1	Byeong-cheol Kim
bye2	Byeong-ki Ahn
bye3	Byeong-ok Kim
bye4	Byeon Hee-bong
bye5	Byeon Ju-yeon
bye6	Byeon Seung-wook
bye7	Byeon Yeong-joo
byr1	Byron Barr
byr2	Byron Cotton
byr3	Byron Haskin
byr4	Byron Howard
byr5	Byron Keith
byr6	Byron Mann
byr7	Byron Thames
byr8	Byron Vaughns
byu1	Byung-chun Min
byu2	Byung-ho Son
byu3	Byung-hun Lee
byu4	Byun Hyuk
byu5	Byun Young-Ju
cab1	Cab Calloway
cag1	Cagdas Bozkurt
cai1	Cai Chusheng
cai2	Cai Shangjun
cai3	Caitlin Clarke
cai4	Caitlin Martin
cai5	Caitlin Wachs
cai6	Cai Yuanyuan
cal1	Cal Duggan
cal2	Calista Flockhart
cal3	Callie Khouri
cal4	Callum Blue
cal5	Callum Keith Rennie
cal6	Calum McAlees
cal7	Calvin Culver
cal8	Calvin Levels
cal9	Calvin Lockhart
cam1	Cameron Diaz
cam2	Cameron Crowe
cam3	Camilla Edwards
cam4	Cam'ron
cam5	Cam Clarke
cam6	Cameron Bancroft
cam7	Cameron Bright
cam8	Cameron Carter
cam9	Cameron Douglas
cam10	Cameron Dye
cam11	Cameron Finley
cam12	Cameron Mitchell
cam13	Cameron Richardson
cam14	Cam Gigandet
cam15	Camila Monteiro
cam16	Camilla Belle
cam17	Camilla Power
cam18	Camilla Rutherford
cam19	Camilla Sparv
cam20	Camilla Spira
cam21	Camilla Walker
cam22	Camille Anderson
cam23	Camille Coduri
cam24	Camille Guaty
cam25	Camille Keaton
cam26	Camille Natta
cam27	Camille Sullivan
cam28	Camillo Bazzoni
cam29	Campbell Scott
cam30	Camryn Manheim
can1	Candice Bergen
can2	Canadian filmmaker
can3	Candace Cameron
can4	Candace Carey
can5	Candace Evanofski
can6	Candace Hutson
can7	Candace Moon
can8	Candance Glendenning
can9	Cande Gerrard
can10	Candela Pena
can11	Candice Azzara
can12	Candice Daly
can13	Candi Milo
can14	Candy Candido
can15	Candy Clark
can16	Candy Ford
can17	Candy Samples
can18	Canned Heat
can19	Cantinflas
cao1	Cao Baoping
cap1	Caprice Benedetti
cap2	Capucine
car1	Caroline Kava
car2	Carrie-Anne Moss
car3	Carrie Fisher
car4	Carmen Maura
car5	Caroline Link
car6	Carol Reed
car7	Carrie Henn
car8	Cary Elwes
car9	Cary Grant
car10	Carl Theodor Dreyer
car11	Cara Buono
car12	Cara Seymour
car13	Cara Williams
car14	Carel Struycken
car15	Carey Dietrich
car16	Carey L. Hastings
car17	Carey Lowell
car18	Carey Means
car19	Carey Mulligan
car20	Carice van Houten
car21	Carina Lau
car22	Carina Lau Ka Ling
car23	Carissa Capobianco
car24	Carl-AAke Eriksson
car25	Carla ;Del ;Poggio
car26	Carla Gallo
car27	Carla Gravina
car28	Carla Gugino
car29	Carl Anderson
car30	Carl Anthony
car31	Carl Benton Reid
car32	Carl Bernstein
car33	Carl Bessai
car34	Carl Betz
car35	Carl Boese
car36	Carl Bressler
car37	Carl Brisson
car38	Carl Duering
car39	Carl Esmond
car40	Carleton Young
car41	Carl Franklin
car42	Carl Froelich
car43	Carl Gabriel Yorke
car44	Carl Goetz
car45	Carl Gottlieb
car46	Carl Hartmann
car47	Carlie Westerman
car48	Carl L. Pierson
car49	Carl Lee
car50	Carl Lerner
car51	Carl Lewis
car52	Carl Lumbly
car53	Carl Macek
car54	Carl Marotte
car55	Carl Meyer
car56	Carl Miller
car57	Carl Mohner
car58	Carl Ng
car59	Carlo Aquino
car60	Carlo Battisti
car61	Carlo Benedetti
car62	Carlo Cabrini
car63	Carlo Carlei
car64	Carlo Cecchi
car65	Carlo D'Angelo
car66	Carlo delle Piane
car67	Carlo De Mejo
car68	Carlo Ninchi
car69	Carlo Pisacane
car70	Carlos A. Cabarcas
car71	Carlo Sabatini
car72	Carlos Alazraqui
car73	Carlos Andres Gomez
car74	Carlos Atanes
car75	Carlos Aured
car76	Carlos Blanco
car77	Carlos Brooks
car78	Carlos Carrasco
car79	Carlos Cuaron
car80	Carlos Diegues
car81	Carlos Emilio Baez
car82	Carlos Gomez
car83	Carlos Jacott
car84	Carlos Lauchu
car85	Carlos Leon
car86	Carlos Leyes
car87	Carlos Maycotte
car88	Carlos Montalban
car89	Carlos Padilla
car90	Carlos Portugal
car91	Carlos Rivas
car92	Carlos Roffe
car93	Carlos Salces
car94	Carlos Saldanha
car95	Carlos Saura
car96	Carlos Velasco
car97	Carlos Villarias
car98	Carl Parker
car99	Carl Pertile
car100	Carl Pierson
car101	Carl Raddatz
car102	Carl Reiner
car103	Carl Schell
car104	Carl Schenkel
car105	Carl Schultz
car106	Carl Snell
car107	Carl Switzer
car108	Carlton Williams
car109	Carl W. Crudup
car110	Carl Weathers
car111	Carly McKinnon
car112	Carly Nahon
car113	Carly Pope
car114	Carly Schroeder
car115	Carmelita Geraghty
car116	Carmelo Gomez
car117	Carmen Argenziano
car118	Carmen Chaplin
car119	Carmencristina Moreno
car120	Carmen Duncan
car121	Carmen Ejogo
car122	Carmen Electra
car123	Carmen Luvana
car124	Carmen Mathews
car125	Carmen Miranda
car126	Carmen Molina
car127	Carmen Nogales
car128	Carmen Scarpitta
car129	Carmen Sevilla
car130	Carmine Coppola
car131	Carmine Recano
car132	Carol 'Do Do' Cheng
car133	Carola Regnier
car134	Carol Arthur
car135	Carol Burnett
car136	Carol Channing
car137	Carol Christensen
car138	Carol Cleveland
car139	Carol Drinkwater
car140	Carole Bouquet
car141	Carole Carr
car142	Carole Cook
car143	Carole Davis
car144	Carole Gray
car145	Carole Landis
car146	Carole Laure
car147	Carole Lombard
car148	Carole Mathews
car149	Carole Pope
car150	Carol Grace
car151	Carol Haney
car152	Carol Heiss
car153	Carol Hughes
car154	Carolina Catena
car155	Carolina Iaquaniello
car156	Caroline Aaron
car157	Caroline Azar
car158	Caroline Berry
car159	Caroline Bonner
car160	Caroline Cellier
car161	Caroline Chikezie
car162	Caroline de Beus
car163	Caroline Ducey
car164	Caroline Goodall
car165	Caroline Munro
car166	Caroline Peters
car167	Caroline Pierce
car168	Caroline Williams
car169	Carol Kane
car170	Carol Lynley
car171	Carol Marsh
car172	Carol Ohmart
car173	Carol Speed
car174	Carol van Herwijnen
car175	Carol White
car176	Carolyn Craig
car177	Carolyn Dando
car178	Carolyn Jones
car179	Carolyn Lawrence
car180	Carolyn Moss
car181	Carolynne Cunningham
car182	Carolyn Purdy-Gordon
car183	Carolyn Saxon
car184	Carol Yorke
car185	Carrie Clark Ward
car186	Carrie Colak
car187	Carrie Crawford
car188	Carrie Finklea
car189	Carrie Mullan
car190	Carrie Ng
car191	Carrie Preston
car192	Carrie Snodgress
car193	Carroll Baker
car194	Carroll Ballard
car195	Carroll Borland
car196	Carroll Gordon
car197	Carroll O'Connor
car198	Carrot Top
car199	Carsten Bodinus
car200	Carsten Fiebeler
car201	Carsten Norgaard
car202	Carter Jenkins
car203	Carter Smith
car204	Cary-Hiroyuki Tagawa
car205	Cary Fukunaga
cas1	Casper Van Dien
cas2	Casey Affleck
cas3	Casey Boersma
cas4	Casey Dubois
cas5	Casey Gooden
cas6	Casey Kasem
cas7	Casey La Scala
cas8	Casey Siemaszko
cas9	Casper Zafer
cas10	Cassandra Gava
cas11	Cassandra Harris
cas12	Cassandra Magrath
cas13	Cassandra Peterson
cas14	Cassidy Gard
cas15	Cassidy Rae
cas16	Cassie Madden
cas17	Cassie Ventura
cas18	Castulo Guerra
cat1	Cate Blanchett
cat2	Catherine Wilkening
cat3	Catherine McCormack
cat4	Catherine Deneuve
cat5	Catherine O'Hara
cat6	Cathy Moriarty
cat7	Catherine Zeta-Jones
cat8	Catalina Murgea
cat9	Catalina Saavedra
cat10	Catalina Sandino Moreno
cat11	Catarina Ruivo
cat12	Cate Bauer
cat13	Caterina Boratto
cat14	Caterina Murino
cat15	Cate Shortland
cat16	Catharine Bolz
cat17	Catherine-Isabelle Duport
cat18	Catherine Bach
cat19	Catherine Bell
cat20	Catherine Breillat
cat21	Catherine Carlen
cat22	Catherine Corman
cat23	Catherine Dale Owen
cat24	Catherine Dent
cat25	Catherine Fitch
cat26	Catherine Frot
cat27	Catherine Hardwicke
cat28	Catherine Hicks
cat29	Catherine Hung Yan
cat30	Catherine Jacob
cat31	Catherine Keener
cat32	Catherine Lacey
cat33	Catherine Lloyd Burns
cat34	Catherine Mary Stewart
cat35	Catherine McClements
cat36	Catherine Owens
cat37	Catherine Oxenberg
cat38	Catherine Parks
cat39	Catherine Rabett
cat40	Catherine Samie
cat41	Catherine Schell
cat42	Catherine Scorsese
cat43	Catherine See
cat44	Catherine Sng
cat45	Catherine Spaak
cat46	Cathleen Nesbitt
cat47	Cathryn Damon
cat48	Cathryn Harrison
cat49	Cathy Cavadini
cat50	Cathy Downs
cat51	Cathy Malkasian
cat52	Cathy Meils
cat53	Cathy Moriarty-Gentile
cat54	Cathy O'Donnell
cat55	Cathy Tyson
cat56	Catlin Adams
cat57	Catlin EJ Meyer
cat58	Catlin Foster
cat59	Catrin Striebeck
cat60	Catriona MacColl
cat61	Catya Sassoon
cau1	C. Aubrey Smith
cav1	Caveh Zahedi
cay1	Cayden Boyd
caz1	Caz Odin Darko
cch1	CCH Pounder
cec1	Cecilia Roth
cec2	Cecil B. DeMille
cec3	Cecil Cunningham
cec4	Cecile Arnold
cec5	Cecile Bois
cec6	Cecile De France
cec7	Cecile Pallas
cec8	Cecilia Callejo
cec9	Cecilia Cheung
cec10	Cecilia Dopazo
cec11	Cecilia Suarez
cec12	Cecilia Yip
cec13	Cecil Kellaway
cec14	Cecillia Stark
cec15	Cecil M. Hepworth
cec16	Cecil Parker
cec17	Cecily Polson
cec18	Cec Linder
ced1	Cedric Gibbons
ced2	Cedric Hardwicke
ced3	Cedric Klapisch
ced4	Cedric Sundstrom
ced5	Cedric The Entertainer
ced6	Cedric Yarbrough
cel1	Celia Johnson
cel2	Celeste Holm
cel3	Celeste Jones
cel4	Celia A. Montgomery
cel5	Celia Imrie
cel6	Celia McGuire
cel7	Celia Montalvan
cel8	Celia Weston
cel9	Celina Jaitley
cel10	Celine Samie
cel11	Celso Bugallo
cem1	Cem Yilmaz
cer1	C. Ernst Harth
cer2	Cerina Vincent
ces1	Cesar Burner
ces2	Cesare Barbetti
ces3	Cesare Danova
ces4	Cesar Gonzalez
ces5	Cesar Romero
cet1	Cetin Inanc
cha1	Charles Laughton
cha2	Charlie Chaplin
cha3	Charlton Heston
cha4	Charles Grodin
cha5	Charles Martin Smith
cha6	Charlize Theron
cha7	Charlie Sheen
cha8	Chan-wook Park
cha9	Charles Durning
cha10	Charles Crichton
cha11	Charles Myers
cha12	Chace Crawford
cha13	Chad Allen
cha14	Chad Broskey
cha15	Chad Burris
cha16	Chad Everett
cha17	Chad Freidrichs
cha18	Chad Lindberg
cha19	Chad Lowe
cha20	Chad McQueen
cha21	Chad Michael Murray
cha22	Chad Webber
cha23	Chae-yeong Yu
cha24	Chae Min-seo
cha25	Chaim Girafi
cha26	Chaiwat Tongsang
cha27	Chai Xiuling
cha28	Chalerm Wongpim
cha29	Chaleumpol Tikumpornteerawong
cha30	Champagne X
cha31	Chan-sang Lim
cha32	Chance Quinn
cha33	Chanda Sharma
cha34	Chandler Canterbury
cha35	Chandler Darby
cha36	Chandra Barot
cha37	Chandrabati Devi
cha38	Chandrachur Singh
cha39	Chandra West
cha40	Chaney Kley
cha41	Chang-dong Lee
cha42	Chang-wan Kim
cha43	Chang Cheh
cha44	Chang Chen
cha45	Chang Hsin Yen
cha46	Chang Jieping
cha47	Chang Jung Lim
cha48	Chang Shih
cha49	Changwei Gu
cha50	Chang Yun
cha51	Channing Tatum
cha52	Channing Wilroy
cha53	Chano
cha54	Chantal Goya
cha55	Chantal Mercier
